Position,Name,Symbol,Price
1,Bitcoin,BTC,65462.62125545192
2,Ethereum,ETH,2660.0520167068903
3,Tether USDt,USDT,1.0002818248533925
4,BNB,BNB,605.3193669158663
5,Solana,SOL,157.95481183090527
6,USDC,USDC,1.000145280189253
7,XRP,XRP,0.589437906405941
8,Dogecoin,DOGE,0.1227823977568971
9,Toncoin,TON,5.82096621504829
10,Cardano,ADA,0.4095154660363815
11,TRON,TRX,0.15424064597462225
12,Avalanche,AVAX,29.659423030784296
13,Shiba Inu,SHIB,1.8932477372639212e-05
14,Chainlink,LINK,12.820588725745342
15,Polkadot,DOT,4.91688143372577
16,Bitcoin Cash,BCH,360.47137311139227
17,NEAR Protocol,NEAR,5.668139852349974
18,UNUS SED LEO,LEO,5.821406583020909
19,Dai,DAI,1.0000391727249842
20,Litecoin,LTC,68.97531084852862
21,Sui,SUI,1.7192018088941967
22,Internet Computer,ICP,9.560828152301315
23,Uniswap,UNI,7.369081436935526
24,Pepe,PEPE,1.0387796467403587e-05
25,Artificial Superintelligence Alliance,FET,1.6604212061541317
26,Aptos,APT,8.274773137350206
27,Kaspa,KAS,0.16587110949209313
28,Bittensor,TAO,542.316338117812
29,Render,RENDER,6.443279576279966
30,POL (ex-MATIC),POL,0.4340760856330387
31,Ethereum Classic,ETC,20.666042545963712
32,Monero,XMR,163.1243095924335
33,Stacks,STX,2.015706466558512
34,Immutable,IMX,1.8483685366491247
35,Stellar,XLM,0.09874743034844699
36,First Digital USD,FDUSD,0.9996514290143572
37,OKB,OKB,42.58012546036619
38,Aave,AAVE,166.7799267496504
39,Filecoin,FIL,4.198433823814758
40,dogwifhat,WIF,2.3328677833069356
41,Hedera,HBAR,0.06186968488490133
42,Cronos,CRO,0.08703803185814488
43,Arbitrum,ARB,0.6364132832418661
44,Injective,INJ,23.20046259370145
45,Mantle,MNT,0.6590798902881825
46,VeChain,VET,0.026507684721613405
47,Optimism,OP,1.8069093653346926
48,Cosmos,ATOM,5.166560789088584
49,Fantom,FTM,0.706807689666042
50,THORChain,RUNE,5.4517131469312226
51,The Graph,GRT,0.1891185556962578
52,Sei,SEI,0.46968257134032443
53,FLOKI,FLOKI,0.00016724724467736564
54,Bonk,BONK,2.2575137963179224e-05
55,Arweave,AR,24.158260857668317
56,Theta Network,THETA,1.5106003146051752
57,Maker,MKR,1667.6609486533232
58,Bitget Token,BGB,1.0438597387485489
59,Celestia,TIA,6.4261972859789545
60,Pyth Network,PYTH,0.37114020584284974
61,Jupiter,JUP,0.9415871234768812
62,Polygon,MATIC,0.4335519211579209
63,Helium,HNT,7.625920799047589
64,Algorand,ALGO,0.14558079574255184
65,Ondo,ONDO,0.8495785506575823
66,JasmyCoin,JASMY,0.023622666195487776
67,Lido DAO,LDO,1.2889609825968285
68,MANTRA,OM,1.2456287135030977
69,Bitcoin SV,BSV,52.86830492124794
70,Popcat (SOL),POPCAT,1.055797301184753
71,Core,CORE,1.133119369690255
72,Brett (Based),BRETT,0.10298295899897132
73,Worldcoin,WLD,2.1141724191221254
74,BitTorrent [New],BTT,1.0221221949202578e-06
75,Flow,FLOW,0.6324697808019117
76,KuCoin Token,KCS,8.175538679880802
77,Quant,QNT,79.81686935902923
78,Beam,BEAM,0.018683007315690184
79,Notcoin,NOT,0.008768726720124975
80,Starknet,STRK,0.4924097929553619
81,ORDI,ORDI,41.664514135938504
82,Gala,GALA,0.024477913879558274
83,Conflux,CFX,0.188277889608151
84,GateToken,GT,9.142759076700125
85,MultiversX,EGLD,30.165250888459784
86,EOS,EOS,0.5416071366407387
87,Wormhole,W,0.31806301604608317
88,Axie Infinity,AXS,5.404930575925658
89,Neo,NEO,11.063458602919782
90,Nervos Network,CKB,0.017088820441258753
91,eCash,XEC,3.860794973373268e-05
92,Flare,FLR,0.01557799561013058
93,Tezos,XTZ,0.7497623389525204
94,Akash Network,AKT,2.9703134708852086
95,USDD,USDD,0.999487208621556
96,Pendle,PENDLE,4.559868468685313
97,SATS,1000SATS,0.0003454190545211601
98,PayPal USD,PYUSD,0.9999136773729423
99,The Sandbox,SAND,0.2963355229898263
100,dYdX (Native),DYDX,1.0919804861606766
101,Ethena,ENA,0.3561200822096315
102,Ronin,RON,1.9124219086319056
103,Tether Gold,XAUt,2664.1928446998927
104,Ethereum Name Service,ENS,19.800254219050064
105,Mina,MINA,0.5569584290278797
106,Chiliz,CHZ,0.07010446770242182
107,Decentraland,MANA,0.33002212320788304
108,AIOZ Network,AIOZ,0.5565542491231753
109,cat in a dogs world,MEW,0.006936089609597267
110,PancakeSwap,CAKE,2.226011101358634
111,Nexo,NEXO,1.0555025104461169
112,Axelar,AXL,0.7237178944775291
113,Synthetix,SNX,1.7217734580687973
114,Mog Coin,MOG,1.560808202173669e-06
115,Oasis,ROSE,0.07844093858959143
116,LayerZero,ZRO,5.024790825603501
117,BOOK OF MEME,BOME,0.007920742592437925
118,ZKsync,ZK,0.1477099659960601
119,Klaytn,KLAY,0.1406276480028133
120,Terra Classic,LUNC,9.180598666515272e-05
121,Livepeer,LPT,14.96082875365848
122,Astar,ASTR,0.07162143811268856
123,DeXe,DEXE,8.958497601194765
124,ApeCoin,APE,0.844378783859826
125,IOTA,IOTA,0.1484331358264553
126,SuperVerse,SUPER,1.0437530377224071
127,PAX Gold,PAXG,2657.044631759126
128,Zcash,ZEC,30.70804828611833
129,TrueUSD,TUSD,0.9987916670299353
130,FTX Token,FTT,1.442904409109558
131,Theta Fuel,TFUEL,0.06995506418007522
132,Osmosis,OSMO,0.6819512499236345
133,Raydium,RAY,1.7480363026119272
134,Blur,BLUR,0.24133385295269144
135,DOGS,DOGS,0.000877136961856369
136,GMT,GMT,0.15945433045224147
137,Bitcoin Gold,BTG,25.21632745125145
138,Hamster Kombat,HMSTR,0.006825503438280844
139,Compound,COMP,49.878972330061366
140,Trust Wallet Token,TWT,1.0448107857643472
141,IoTeX,IOTX,0.045885978768430556
142,XDC Network,XDC,0.028848551824178427
143,Gnosis,GNO,164.8974371717368
144,Kava,KAVA,0.3928059836127778
145,BinaryX,BNX,1.1323231490374468
146,APENFT,NFT,4.1688702566560154e-07
147,Echelon Prime,PRIME,11.573169146916317
148,Dymension,DYM,1.9843712120430124
149,1inch Network,1INCH,0.31036752594951533
150,ConstitutionDAO,PEOPLE,0.07702333284671106
151,Safe,SAFE,0.8333030044302469
152,WEMIX,WEMIX,0.9246259668187755
153,Aevo,AEVO,0.43619936487111194
154,Reserve Rights,RSR,0.007214097037207645
155,Curve DAO Token,CRV,0.30872162819677357
156,SafePal,SFP,0.7567130898561698
157,Manta Network,MANTA,0.9666309076213739
158,WOO,WOO,0.19898177134656392
159,Baby Doge Coin,BabyDoge,2.295480374883565e-09
160,Kusama,KSM,22.594084036186675
161,Golem,GLM,0.3495067309334642
162,Amp,AMP,0.004311357583712825
163,Celo,CELO,0.6340929474474408
164,Arkham,ARKM,1.4992684852571
165,MX Token,MX,3.4531202991925376
166,Memecoin,MEME,0.01260004677034484
167,Holo,HOT,0.0019323995687510762
168,SPACE ID,ID,0.4318219474321845
169,ether.fi,ETHFI,1.692358180294689
170,Jito,JTO,2.5038975834097172
171,Ankr,ANKR,0.031524725018627894
172,Dash,DASH,26.202701501259114
173,Zilliqa,ZIL,0.01661531980668588
174,0x Protocol,ZRX,0.3573962543727865
175,Gravity,G,0.041177948623804216
176,Enjin Coin,ENJ,0.17162277784280977
177,Altlayer,ALT,0.13319833315101706
178,JUST,JST,0.029976473834656618
179,aelf,ELF,0.4038703589937532
180,Basic Attention Token,BAT,0.1977866700579506
181,Siacoin,SC,0.005068137698037129
182,Aragon,ANT,6.738838894615568
183,Terra,LUNA,0.40739949176529183
184,ZetaChain,ZETA,0.7113301070441654
185,Qtum,QTUM,2.685541968620808
186,ssv.network,SSV,24.67816034748833
187,io.net,IO,2.2763390855489027
188,Ravencoin,RVN,0.018796209754558896
189,Threshold,T,0.026845375572988134
190,Gas,GAS,4.005071345513427
191,Saga,SAGA,2.515529329378624
192,OriginTrail,TRAC,0.624552103781954
193,GMX,GMX,26.51204651687734
194,EthereumPoW,ETHW,2.3241401946180744
195,Polymesh,POLYX,0.27913971629790346
196,Metis,METIS,40.92206459904372
197,Rocket Pool,RPL,11.714261584854665
198,Flux,FLUX,0.6528951851731895
199,Mask Network,MASK,2.4264960077904294
200,dYdX (ethDYDX),ETHDYDX,1.0928580302046345
